Block_ID,VN1_Start,VN1_End,VN1_Strand,CH1_Start,CH1_End,CH1_Strand,CH2_Start,CH2_End,CH2_Strand,10_Sro_Shorea_Start,10_Sro_Shorea_End,10_Sro_Shorea_Strand,Cacao_Outgroup_Start,Cacao_Outgroup_End,Cacao_Outgroup_Strand
LCB_316,87577,88384,+,258397,259204,+,113258,114065,+,384349,385156,+,153644,154455,-
LCB_317,87552,87576,+,258372,258396,+,113233,113257,+,-,-,-,154457,154480,-
LCB_318,87526,87527,+,258346,258347,+,113207,113208,+,-,-,-,154484,154485,-
LCB_319,87119,87525,+,257945,258345,+,112800,113206,+,383938,384344,+,154486,154902,-
LCB_320,86151,86898,+,256977,257724,+,111832,112579,+,382970,383717,+,155505,156291,-
LCB_321,85860,86147,+,256686,256973,+,111541,111828,+,382679,382966,+,156313,156605,-
LCB_322,-,-,-,-,-,-,-,-,-,382339,382678,+,156606,156953,-
LCB_323,85659,85856,+,256485,256682,+,111340,111537,+,382142,382338,+,156954,157149,-
LCB_324,85577,85658,+,256403,256484,+,111258,111339,+,-,-,-,157151,157231,-
LCB_325,83938,85576,+,254764,256402,+,109619,111257,+,380504,382138,+,157232,158875,-
LCB_326,-,-,-,-,-,-,-,-,-,379882,380503,+,158876,159490,-
LCB_327,219980,220238,+,390781,391039,+,22289,22547,-,294943,295201,+,161220,161472,+
LCB_328,62590,63416,+,233425,234251,+,179163,179989,-,372590,373416,-,163094,163901,-
LCB_329,351500,353569,+,109062,111131,+,345915,347984,+,-,-,-,165205,165355,+
LCB_330,130289,130631,+,301089,301431,+,156026,156368,+,201466,201808,-,167358,167699,-
LCB_331,2293,2507,+,173120,173334,+,238787,239001,-,233227,233441,+,168538,168754,-
LCB_332,308083,308275,+,65650,65842,+,302556,302748,+,150718,150910,+,169463,169659,+
LCB_333,308379,310111,+,65946,67678,+,302852,304584,+,151014,152746,+,169723,170420,+
LCB_334,101802,102312,+,272621,273131,+,127483,127993,+,36545,37055,-,172097,172605,-
LCB_335,147615,153425,+,318415,324225,+,173352,179162,+,366798,372589,+,172748,173876,+
LCB_336,127958,128141,+,298758,298941,+,153695,153878,+,261178,261361,+,176672,176858,+
LCB_337,128142,129084,+,298942,299884,+,153879,154821,+,-,-,-,176859,176882,+
LCB_338,93673,94528,+,264492,265347,+,119354,120209,+,-,-,-,180480,180779,-
LCB_339,93304,93533,+,264123,264352,+,118985,119214,+,-,-,-,180856,181070,-
LCB_340,392330,392704,+,149896,150270,+,386745,387119,+,313808,314182,-,182920,183294,+
LCB_341,405213,405420,+,162779,162986,+,399615,399822,+,302622,302829,-,195200,195411,+
LCB_342,405864,407900,+,163430,165466,+,400266,402302,+,300142,302178,-,195435,197476,+
LCB_343,200674,200926,+,371475,371727,+,41597,41849,-,181416,181668,-,198507,198765,-
LCB_344,-,-,-,-,-,-,-,-,-,105964,106152,+,204616,204810,-
LCB_345,276820,276876,+,34377,34433,+,271676,271732,+,119488,119544,+,205259,205314,+
LCB_346,277008,277631,+,34565,35188,+,271864,272487,+,119676,120299,+,205324,205952,+
LCB_347,277656,281586,+,35214,39144,+,272514,276444,+,120325,124255,+,205957,209840,+
LCB_348,272658,273875,+,30215,31432,+,267514,268731,+,115333,116550,+,210351,210858,+
LCB_349,-,-,-,-,-,-,-,-,-,105697,105958,+,212994,213252,+
LCB_350,350302,350781,+,107864,108343,+,344717,345196,+,-,-,-,214879,215119,-
LCB_351,349336,349406,+,106898,106968,+,343751,343821,+,-,-,-,216099,216166,-
LCB_352,316736,318961,+,74294,76519,+,311209,313434,+,280416,282642,-,222512,224745,+
LCB_353,319010,319443,+,76568,77001,+,313483,313916,+,279934,280367,-,224785,225217,+
LCB_354,319448,323808,+,77006,81366,+,313921,318281,+,275576,279929,-,225690,230035,+
LCB_355,-,-,-,-,-,-,-,-,-,275550,275575,-,230036,230060,+
LCB_356,323812,324815,+,81370,82373,+,318285,319288,+,274546,275549,-,230061,231058,+
LCB_357,324857,326167,+,82415,83725,+,319330,320640,+,273191,274504,-,231100,232410,+
LCB_358,326329,329003,+,83887,86571,+,320802,323476,+,270345,273029,-,232414,235095,+
LCB_359,329008,329792,+,86576,87360,+,323481,324265,+,269562,270340,-,235144,235922,+
LCB_360,330732,331059,+,88300,88627,+,325205,325532,+,268519,268846,-,236371,236698,+
LCB_361,196244,196968,+,367045,367769,+,45555,46279,-,185373,186097,-,239635,240363,+
LCB_362,19448,20742,+,190275,191569,+,220552,221846,-,253948,255242,+,240397,241701,+
LCB_363,21017,22875,+,191839,193697,+,218420,220278,-,255511,257376,+,241706,243574,+
LCB_364,-,-,-,-,-,-,-,-,-,257377,257670,+,243575,243870,+
LCB_365,-,-,-,-,-,-,-,-,-,257705,258407,+,243902,244613,+
LCB_366,125002,125619,+,295803,296419,+,150739,151356,+,258408,259020,+,244614,245211,+
LCB_367,125623,126026,+,296423,296826,+,151360,151763,+,259024,259246,+,245251,245595,+
LCB_368,60614,60801,+,231449,231636,+,181778,181965,-,321983,322170,-,247647,247834,-
LCB_369,54505,60577,+,225340,231412,+,182002,188074,-,322207,328285,-,247851,253942,-
LCB_370,272149,272418,+,29706,29975,+,267005,267274,+,114813,115093,+,260108,260149,-
LCB_371,271489,272144,+,29046,29701,+,266345,267000,+,114142,114808,+,262031,262697,-
LCB_372,301554,301735,+,59121,59302,+,296027,296208,+,144197,144378,+,265986,266164,+
LCB_373,302212,302812,+,59779,60379,+,296685,297285,+,144855,145455,+,266635,266907,+
LCB_374,137096,140982,+,307896,311782,+,162833,166719,+,356282,360160,+,268566,269714,+
LCB_375,100808,100860,+,271627,271679,+,126489,126541,+,37999,38051,-,269905,269957,-
LCB_376,201103,201176,+,371904,371977,+,41347,41420,-,181166,181239,-,270148,270226,+
LCB_377,201944,203899,+,372745,374700,+,38624,40579,-,178443,180398,-,270780,272726,+
LCB_378,-,-,-,-,-,-,-,-,-,336486,337521,+,273149,273411,-
LCB_379,193053,193494,+,363854,364295,+,49029,49470,-,188845,189286,-,273430,273877,+
LCB_380,193591,194877,+,364392,365678,+,47646,48932,-,187465,188757,-,273882,275179,+
LCB_381,386844,386923,+,144410,144489,+,381259,381338,+,319589,319668,-,284688,284761,+
LCB_382,-,-,-,-,-,-,-,-,-,229366,229730,+,285272,285611,-
LCB_383,241637,241749,+,412428,412540,+,778,890,-,227849,227961,+,287068,287181,-
LCB_384,257933,258850,+,15490,16407,+,252789,253706,+,45209,46126,+,289658,290568,+
LCB_385,260432,261516,+,17989,19073,+,255288,256372,+,47708,48792,+,291458,292554,+
LCB_386,261657,266843,+,19214,24400,+,256513,261699,+,48933,54099,+,292845,295440,+
LCB_387,356052,359955,+,113614,117517,+,350467,354370,+,332356,336260,+,302662,303463,-
LCB_388,83712,83933,+,254538,254759,+,109393,109614,+,391896,392117,+,306970,307188,-
LCB_389,161732,161943,+,332532,332743,+,80580,80791,-,390453,390664,+,308465,308696,-
LCB_390,285841,292549,+,43399,50114,+,280699,287407,+,128506,135220,+,315100,318509,+
LCB_391,189380,192763,+,360181,363564,+,49760,53143,-,189576,192959,-,327201,330588,+
LCB_392,225295,228660,+,396096,399460,+,13867,17232,-,208821,212190,+,340620,344054,-
LCB_393,225099,225290,+,395900,396091,+,17237,17428,-,208625,208816,+,344084,344274,-
LCB_394,196969,198050,+,367770,368851,+,44473,45554,-,184292,185372,-,347551,348609,+
LCB_395,198072,198190,+,368873,368991,+,44333,44451,-,184152,184270,-,348753,348878,+
LCB_396,98922,99183,+,269741,270002,+,124603,124864,+,39680,39941,-,351825,352090,+
LCB_397,99188,99263,+,270007,270082,+,124869,124944,+,39600,39675,-,352128,352210,+
LCB_398,183932,184056,+,354733,354857,+,58467,58591,-,415724,415848,+,355181,355301,-
LCB_399,80897,82117,+,251732,252943,+,106578,107798,+,-,-,-,359549,359588,-
LCB_400,80845,80892,+,251680,251727,+,106526,106573,+,-,-,-,359614,359661,-
LCB_401,284896,285840,+,42454,43398,+,279754,280698,+,127561,128505,+,360307,361236,-
LCB_402,282891,284868,+,40449,42426,+,277749,279726,+,125560,127532,+,361241,363216,-
LCB_403,281609,282886,+,39167,40444,+,276467,277744,+,124278,125555,+,364045,365324,-
LCB_404,254343,254799,+,11900,12356,+,249199,249655,+,58846,59302,-,365329,365785,+
LCB_405,-,-,-,-,-,-,-,-,-,6583,6695,+,366500,366603,+
LCB_406,61320,61444,+,232155,232279,+,181135,181259,-,321346,321464,-,369946,370093,-
LCB_407,387337,390766,+,144903,148332,+,381752,385181,+,315746,319175,-,387086,390542,-
LCB_408,9635,9926,+,180462,180753,+,231368,231659,-,240567,240858,+,390552,390843,+
LCB_409,9958,10049,+,180785,180876,+,231245,231336,-,240890,240981,+,390848,390936,+
LCB_410,10171,10219,+,180998,181046,+,231075,231123,-,241098,241146,+,391051,391099,+
LCB_411,96185,96534,+,267004,267353,+,121866,122215,+,-,-,-,394078,394282,-
LCB_412,94976,95081,+,265795,265900,+,120657,120762,+,-,-,-,396222,396324,-
LCB_413,294961,294973,+,52528,52540,+,-,-,-,137628,137640,+,398580,398592,+
LCB_414,294974,298403,+,52541,55970,+,289447,292876,+,137641,141054,+,398593,400165,+
LCB_415,177493,177696,+,348294,348497,+,64827,65030,-,409292,409488,+,409703,409897,-
LCB_416,176363,177427,+,347164,348228,+,65096,66160,-,408162,409226,+,409916,410945,-
LCB_417,220671,220770,+,391472,391571,+,21757,21856,-,295634,295733,+,415355,415443,+
LCB_418,300472,301122,+,58039,58689,+,294945,295595,+,143115,143765,+,417054,417290,-
LCB_419,306843,307296,+,64410,64863,+,301316,301769,+,149478,149931,+,424544,424604,-
LCB_420,306693,306744,+,64260,64311,+,301166,301217,+,149328,149379,+,424768,424819,-
LCB_421,132888,133056,+,303688,303856,+,158625,158793,+,199050,199218,+,426510,426548,-
LCB_422,-,-,-,-,-,-,-,-,-,198985,199049,+,426549,426612,-
LCB_423,-,-,-,-,-,-,-,-,-,197129,197502,+,427767,428161,-
LCB_424,-,-,-,-,-,-,-,-,-,196645,197096,+,428172,428600,-
LCB_425,37028,40196,+,207850,211018,+,202397,205531,-,22008,25176,+,438388,441553,+
LCB_426,40201,40381,+,211023,211203,+,202212,202392,-,25181,25361,+,442503,442683,+
LCB_427,40835,41008,+,211657,211830,+,201585,201758,-,25815,25988,+,443210,443371,+
LCB_428,41395,41520,+,212217,212342,+,201073,201198,-,26375,26500,+,443937,444055,+
LCB_429,2835,3666,+,173662,174493,+,237628,238459,-,233769,234600,+,448228,449077,+
LCB_430,-,-,-,-,-,-,-,-,-,100775,100978,+,452694,452892,-
LCB_431,8999,9532,+,179826,180359,+,231762,232295,-,239931,240464,+,461514,462036,+
LCB_432,219187,219419,+,389988,390220,+,23108,23340,-,294160,294392,+,471689,471923,+
LCB_433,88385,88483,+,259205,259303,+,114066,114164,+,385157,385255,+,471926,472014,+
LCB_434,365519,366678,+,123081,124240,+,359934,361093,+,375321,376494,+,477345,477737,+
LCB_435,100942,101150,+,271761,271969,+,126623,126831,+,37707,37917,-,479006,479212,+
LCB_436,101179,101258,+,271998,272077,+,126860,126939,+,37599,37678,-,479223,479314,+
LCB_437,100073,100391,+,270892,271210,+,125754,126072,+,38468,38786,-,479962,480292,+
LCB_438,100431,100744,+,271250,271563,+,126112,126425,+,38115,38428,-,480302,480624,+
LCB_439,-,-,-,-,-,-,-,-,-,226840,227077,+,483048,483285,-
LCB_440,24425,27386,+,195247,198208,+,213909,216870,-,9406,12367,+,499337,502316,+
LCB_441,27530,29194,+,198352,200016,+,212101,213765,-,12511,14175,+,502320,503995,+
LCB_442,29200,29891,+,200022,200713,+,211404,212095,-,14181,14872,+,504188,504878,+
LCB_443,274585,275837,+,32142,33394,+,269441,270693,+,117260,118512,+,505251,506492,+
LCB_444,275867,276779,+,33424,34336,+,270723,271635,+,118542,119447,+,506499,507369,+
LCB_445,51638,51845,+,222469,222676,+,190748,190955,-,330941,331148,-,510253,510450,+
LCB_446,51983,52135,+,222814,222966,+,190458,190610,-,330654,330806,-,510638,510805,+
LCB_447,153489,154337,+,324289,325137,+,88186,89034,-,346314,347154,-,515151,516003,-
LCB_448,370377,370430,+,127939,127992,+,364792,364845,+,-,-,-,516006,516064,-
LCB_449,42794,42989,+,213616,213811,+,199604,199799,-,27766,27961,+,517914,518112,+
LCB_450,43012,43151,+,213834,213973,+,199442,199581,-,27984,28122,+,518117,518260,+
LCB_451,44187,44510,+,215018,215341,+,198083,198406,-,29167,29490,+,518812,519129,+
LCB_452,355373,355549,+,112935,113111,+,349788,349964,+,70493,70669,+,525439,525594,-
LCB_453,129953,130026,+,300753,300826,+,155690,155763,+,-,-,-,531931,532002,+
LCB_454,130027,130031,+,300827,300831,+,155764,155768,+,202059,202063,-,532003,532007,+
LCB_455,-,-,-,-,-,-,10483,10520,+,-,-,-,-,-,-
LCB_456,-,-,-,-,-,-,29934,30627,+,-,-,-,-,-,-
LCB_457,-,-,-,-,-,-,206885,207531,+,-,-,-,-,-,-
LCB_458,-,-,-,-,-,-,-,-,-,3607,6582,+,-,-,-
LCB_459,-,-,-,-,-,-,-,-,-,7614,7869,+,-,-,-
LCB_460,-,-,-,-,-,-,-,-,-,54100,58763,+,-,-,-
LCB_461,-,-,-,-,-,-,-,-,-,64285,64327,+,-,-,-
LCB_462,-,-,-,-,-,-,-,-,-,65330,67485,+,-,-,-
LCB_463,-,-,-,-,-,-,-,-,-,68719,68955,+,-,-,-
LCB_464,-,-,-,-,-,-,-,-,-,69510,69598,+,-,-,-
LCB_465,-,-,-,-,-,-,-,-,-,69863,69927,+,-,-,-
LCB_466,-,-,-,-,-,-,-,-,-,70670,75996,+,-,-,-
LCB_467,-,-,-,-,-,-,-,-,-,80835,80904,+,-,-,-
LCB_468,-,-,-,-,-,-,-,-,-,86312,86332,+,-,-,-
LCB_469,-,-,-,-,-,-,-,-,-,100979,101135,+,-,-,-
LCB_470,-,-,-,-,-,-,-,-,-,101255,105696,+,-,-,-
LCB_471,-,-,-,-,-,-,-,-,-,106153,108264,+,-,-,-
LCB_472,-,-,-,-,-,-,-,-,-,110247,112849,+,-,-,-
LCB_473,-,-,-,-,-,-,-,-,-,113006,114141,+,-,-,-
LCB_474,-,-,-,-,-,-,-,-,-,152747,167016,+,-,-,-
LCB_475,-,-,-,-,-,-,-,-,-,168325,168347,+,-,-,-
LCB_476,-,-,-,-,-,-,-,-,-,172245,172381,+,-,-,-
LCB_477,-,-,-,-,-,-,-,-,-,192960,194638,+,-,-,-
LCB_478,-,-,-,-,-,-,-,-,-,195269,195451,+,-,-,-
LCB_479,-,-,-,-,-,-,-,-,-,195900,196014,+,-,-,-
LCB_480,-,-,-,-,-,-,-,-,-,196172,196644,+,-,-,-
LCB_481,-,-,-,-,-,-,-,-,-,197097,197128,+,-,-,-
LCB_482,-,-,-,-,-,-,-,-,-,197503,198984,+,-,-,-
LCB_483,-,-,-,-,-,-,-,-,-,202064,203063,+,-,-,-
LCB_484,-,-,-,-,-,-,-,-,-,203112,204478,+,-,-,-
LCB_485,-,-,-,-,-,-,-,-,-,224455,226839,+,-,-,-
LCB_486,-,-,-,-,-,-,-,-,-,227078,227776,+,-,-,-
LCB_487,-,-,-,-,-,-,-,-,-,228733,229365,+,-,-,-
LCB_488,-,-,-,-,-,-,-,-,-,229731,231163,+,-,-,-
LCB_489,-,-,-,-,-,-,-,-,-,246358,248598,+,-,-,-
LCB_490,-,-,-,-,-,-,-,-,-,257671,257704,+,-,-,-
LCB_491,-,-,-,-,-,-,-,-,-,265544,265602,+,-,-,-
LCB_492,-,-,-,-,-,-,-,-,-,290775,291548,+,-,-,-
LCB_493,-,-,-,-,-,-,-,-,-,292225,293489,+,-,-,-
LCB_494,-,-,-,-,-,-,-,-,-,295734,298991,+,-,-,-
LCB_495,-,-,-,-,-,-,-,-,-,299080,299340,+,-,-,-
LCB_496,-,-,-,-,-,-,-,-,-,299602,300114,+,-,-,-
LCB_497,-,-,-,-,-,-,-,-,-,331463,331879,+,-,-,-
LCB_498,-,-,-,-,-,-,-,-,-,336261,336485,+,-,-,-
LCB_499,-,-,-,-,-,-,-,-,-,347219,354024,+,-,-,-
LCB_500,-,-,-,-,-,-,-,-,-,373510,373821,+,-,-,-
LCB_501,-,-,-,-,-,-,-,-,-,376495,376574,+,-,-,-
LCB_502,-,-,-,-,-,-,-,-,-,377222,379881,+,-,-,-
LCB_503,-,-,-,-,-,-,-,-,-,389071,389091,+,-,-,-
LCB_504,-,-,-,-,-,-,-,-,-,390671,390970,+,-,-,-
LCB_505,-,-,-,-,-,-,-,-,-,391462,391541,+,-,-,-
LCB_506,-,-,-,-,-,-,-,-,-,392118,392930,+,-,-,-
LCB_507,-,-,-,-,-,-,-,-,-,394028,397396,+,-,-,-
LCB_508,-,-,-,-,-,-,-,-,-,420466,420554,+,-,-,-
LCB_509,-,-,-,-,-,-,-,-,-,421991,422239,+,-,-,-
LCB_510,-,-,-,-,-,-,-,-,-,423115,423138,+,-,-,-
LCB_511,-,-,-,-,-,-,-,-,-,-,-,-,1,6078,+
LCB_512,-,-,-,-,-,-,-,-,-,-,-,-,7735,7900,+
LCB_513,-,-,-,-,-,-,-,-,-,-,-,-,7999,9218,+
LCB_514,-,-,-,-,-,-,-,-,-,-,-,-,9409,10301,+
LCB_515,-,-,-,-,-,-,-,-,-,-,-,-,11815,11908,+
LCB_516,-,-,-,-,-,-,-,-,-,-,-,-,13072,13773,+
LCB_517,-,-,-,-,-,-,-,-,-,-,-,-,13974,16414,+
LCB_518,-,-,-,-,-,-,-,-,-,-,-,-,16592,17406,+
LCB_519,-,-,-,-,-,-,-,-,-,-,-,-,17590,18791,+
LCB_520,-,-,-,-,-,-,-,-,-,-,-,-,20890,21109,+
LCB_521,-,-,-,-,-,-,-,-,-,-,-,-,21808,29244,+
LCB_522,-,-,-,-,-,-,-,-,-,-,-,-,29581,29778,+
LCB_523,-,-,-,-,-,-,-,-,-,-,-,-,31646,31888,+
LCB_524,-,-,-,-,-,-,-,-,-,-,-,-,32299,35242,+
LCB_525,-,-,-,-,-,-,-,-,-,-,-,-,35346,37215,+
LCB_526,-,-,-,-,-,-,-,-,-,-,-,-,37301,37323,+
LCB_527,-,-,-,-,-,-,-,-,-,-,-,-,38530,38552,+
LCB_528,-,-,-,-,-,-,-,-,-,-,-,-,42411,42491,+
LCB_529,-,-,-,-,-,-,-,-,-,-,-,-,43464,43507,+
LCB_530,-,-,-,-,-,-,-,-,-,-,-,-,44532,53013,+
LCB_531,-,-,-,-,-,-,-,-,-,-,-,-,54487,64431,+
LCB_532,-,-,-,-,-,-,-,-,-,-,-,-,64980,65958,+
LCB_533,-,-,-,-,-,-,-,-,-,-,-,-,67304,74816,+
LCB_534,-,-,-,-,-,-,-,-,-,-,-,-,74967,76591,+
LCB_535,-,-,-,-,-,-,-,-,-,-,-,-,77457,77482,+
LCB_536,-,-,-,-,-,-,-,-,-,-,-,-,77756,78051,+
LCB_537,-,-,-,-,-,-,-,-,-,-,-,-,80239,82051,+
LCB_538,-,-,-,-,-,-,-,-,-,-,-,-,82173,82598,+
LCB_539,-,-,-,-,-,-,-,-,-,-,-,-,82755,97834,+
LCB_540,-,-,-,-,-,-,-,-,-,-,-,-,106077,106624,+
LCB_541,-,-,-,-,-,-,-,-,-,-,-,-,106797,108368,+
LCB_542,-,-,-,-,-,-,-,-,-,-,-,-,108716,118720,+
LCB_543,-,-,-,-,-,-,-,-,-,-,-,-,118850,124510,+
LCB_544,-,-,-,-,-,-,-,-,-,-,-,-,124961,125006,+
LCB_545,-,-,-,-,-,-,-,-,-,-,-,-,125223,132516,+
LCB_546,-,-,-,-,-,-,-,-,-,-,-,-,135567,137867,+
LCB_547,-,-,-,-,-,-,-,-,-,-,-,-,138018,140336,+
LCB_548,-,-,-,-,-,-,-,-,-,-,-,-,140513,151885,+
LCB_549,-,-,-,-,-,-,-,-,-,-,-,-,152107,153643,+
LCB_550,-,-,-,-,-,-,-,-,-,-,-,-,154903,155504,+
LCB_551,-,-,-,-,-,-,-,-,-,-,-,-,156292,156312,+
LCB_552,-,-,-,-,-,-,-,-,-,-,-,-,159491,161219,+
LCB_553,-,-,-,-,-,-,-,-,-,-,-,-,161473,163093,+
LCB_554,-,-,-,-,-,-,-,-,-,-,-,-,163902,165204,+
LCB_555,-,-,-,-,-,-,-,-,-,-,-,-,165356,167357,+
LCB_556,-,-,-,-,-,-,-,-,-,-,-,-,167700,168537,+
LCB_557,-,-,-,-,-,-,-,-,-,-,-,-,168755,169462,+
LCB_558,-,-,-,-,-,-,-,-,-,-,-,-,169660,169722,+
LCB_559,-,-,-,-,-,-,-,-,-,-,-,-,170421,172096,+
LCB_560,-,-,-,-,-,-,-,-,-,-,-,-,172606,172747,+
LCB_561,-,-,-,-,-,-,-,-,-,-,-,-,173877,176671,+
LCB_562,-,-,-,-,-,-,-,-,-,-,-,-,176883,180479,+
LCB_563,-,-,-,-,-,-,-,-,-,-,-,-,180780,180855,+
LCB_564,-,-,-,-,-,-,-,-,-,-,-,-,181071,182919,+
LCB_565,-,-,-,-,-,-,-,-,-,-,-,-,183295,195199,+
LCB_566,-,-,-,-,-,-,-,-,-,-,-,-,195412,195434,+
LCB_567,-,-,-,-,-,-,-,-,-,-,-,-,197477,198506,+
LCB_568,-,-,-,-,-,-,-,-,-,-,-,-,198766,204615,+
LCB_569,-,-,-,-,-,-,-,-,-,-,-,-,204811,205258,+
LCB_570,-,-,-,-,-,-,-,-,-,-,-,-,209841,210350,+
LCB_571,-,-,-,-,-,-,-,-,-,-,-,-,210859,212993,+
LCB_572,-,-,-,-,-,-,-,-,-,-,-,-,213253,214878,+
LCB_573,-,-,-,-,-,-,-,-,-,-,-,-,215120,216098,+
LCB_574,-,-,-,-,-,-,-,-,-,-,-,-,216167,222511,+
LCB_575,-,-,-,-,-,-,-,-,-,-,-,-,224746,224784,+
LCB_576,-,-,-,-,-,-,-,-,-,-,-,-,225218,225689,+
LCB_577,-,-,-,-,-,-,-,-,-,-,-,-,231059,231099,+
LCB_578,-,-,-,-,-,-,-,-,-,-,-,-,235096,235143,+
LCB_579,-,-,-,-,-,-,-,-,-,-,-,-,235923,236370,+
LCB_580,-,-,-,-,-,-,-,-,-,-,-,-,236699,239634,+
LCB_581,-,-,-,-,-,-,-,-,-,-,-,-,240364,240396,+
LCB_582,-,-,-,-,-,-,-,-,-,-,-,-,243871,243901,+
LCB_583,-,-,-,-,-,-,-,-,-,-,-,-,245212,245250,+
LCB_584,-,-,-,-,-,-,-,-,-,-,-,-,245596,247646,+
LCB_585,-,-,-,-,-,-,-,-,-,-,-,-,253943,260107,+
LCB_586,-,-,-,-,-,-,-,-,-,-,-,-,260150,262030,+
LCB_587,-,-,-,-,-,-,-,-,-,-,-,-,262698,265985,+
LCB_588,-,-,-,-,-,-,-,-,-,-,-,-,266165,266634,+
LCB_589,-,-,-,-,-,-,-,-,-,-,-,-,266908,268565,+
LCB_590,-,-,-,-,-,-,-,-,-,-,-,-,269715,269904,+
LCB_591,-,-,-,-,-,-,-,-,-,-,-,-,269958,270147,+
LCB_592,-,-,-,-,-,-,-,-,-,-,-,-,270227,270779,+
LCB_593,-,-,-,-,-,-,-,-,-,-,-,-,272727,273148,+
LCB_594,-,-,-,-,-,-,-,-,-,-,-,-,275180,284687,+
LCB_595,-,-,-,-,-,-,-,-,-,-,-,-,284762,285271,+
LCB_596,-,-,-,-,-,-,-,-,-,-,-,-,285612,287067,+
LCB_597,-,-,-,-,-,-,-,-,-,-,-,-,287182,289657,+
LCB_598,-,-,-,-,-,-,-,-,-,-,-,-,290569,291457,+
LCB_599,-,-,-,-,-,-,-,-,-,-,-,-,292555,292844,+
LCB_600,-,-,-,-,-,-,-,-,-,-,-,-,295441,302661,+
LCB_601,-,-,-,-,-,-,-,-,-,-,-,-,303464,306969,+
LCB_602,-,-,-,-,-,-,-,-,-,-,-,-,307189,308464,+
LCB_603,-,-,-,-,-,-,-,-,-,-,-,-,308697,315099,+
LCB_604,-,-,-,-,-,-,-,-,-,-,-,-,318510,327200,+
LCB_605,-,-,-,-,-,-,-,-,-,-,-,-,330589,340619,+
LCB_606,-,-,-,-,-,-,-,-,-,-,-,-,344055,344083,+
LCB_607,-,-,-,-,-,-,-,-,-,-,-,-,344275,347550,+
LCB_608,-,-,-,-,-,-,-,-,-,-,-,-,348610,348752,+
LCB_609,-,-,-,-,-,-,-,-,-,-,-,-,348879,351824,+
LCB_610,-,-,-,-,-,-,-,-,-,-,-,-,352091,352127,+
LCB_611,-,-,-,-,-,-,-,-,-,-,-,-,352211,355180,+
LCB_612,-,-,-,-,-,-,-,-,-,-,-,-,355302,359548,+
LCB_613,-,-,-,-,-,-,-,-,-,-,-,-,359589,359613,+
LCB_614,-,-,-,-,-,-,-,-,-,-,-,-,359662,360306,+
LCB_615,-,-,-,-,-,-,-,-,-,-,-,-,363217,364044,+
LCB_616,-,-,-,-,-,-,-,-,-,-,-,-,365786,366499,+
LCB_617,-,-,-,-,-,-,-,-,-,-,-,-,366604,369945,+
LCB_618,-,-,-,-,-,-,-,-,-,-,-,-,370094,387085,+
LCB_619,-,-,-,-,-,-,-,-,-,-,-,-,390937,391050,+
LCB_620,-,-,-,-,-,-,-,-,-,-,-,-,391100,394077,+
LCB_621,-,-,-,-,-,-,-,-,-,-,-,-,394283,396221,+
LCB_622,-,-,-,-,-,-,-,-,-,-,-,-,396325,398579,+
LCB_623,-,-,-,-,-,-,-,-,-,-,-,-,400166,409702,+
LCB_624,-,-,-,-,-,-,-,-,-,-,-,-,410946,415354,+
LCB_625,-,-,-,-,-,-,-,-,-,-,-,-,415444,417053,+
LCB_626,-,-,-,-,-,-,-,-,-,-,-,-,417291,424543,+
LCB_627,-,-,-,-,-,-,-,-,-,-,-,-,424605,424767,+
LCB_628,-,-,-,-,-,-,-,-,-,-,-,-,424820,426509,+
LCB_629,-,-,-,-,-,-,-,-,-,-,-,-,426613,427766,+
LCB_630,-,-,-,-,-,-,-,-,-,-,-,-,428601,438387,+
LCB_631,-,-,-,-,-,-,-,-,-,-,-,-,441554,442502,+
LCB_632,-,-,-,-,-,-,-,-,-,-,-,-,442684,443209,+
LCB_633,-,-,-,-,-,-,-,-,-,-,-,-,443372,443936,+
LCB_634,-,-,-,-,-,-,-,-,-,-,-,-,444056,448227,+
LCB_635,-,-,-,-,-,-,-,-,-,-,-,-,449078,452693,+
LCB_636,-,-,-,-,-,-,-,-,-,-,-,-,452893,461513,+
LCB_637,-,-,-,-,-,-,-,-,-,-,-,-,462037,471688,+
LCB_638,-,-,-,-,-,-,-,-,-,-,-,-,472015,477344,+
LCB_639,-,-,-,-,-,-,-,-,-,-,-,-,477738,479005,+
LCB_640,-,-,-,-,-,-,-,-,-,-,-,-,479315,479961,+
LCB_641,-,-,-,-,-,-,-,-,-,-,-,-,480625,483047,+
LCB_642,-,-,-,-,-,-,-,-,-,-,-,-,483286,499336,+
LCB_643,-,-,-,-,-,-,-,-,-,-,-,-,503996,504187,+
LCB_644,-,-,-,-,-,-,-,-,-,-,-,-,504879,505250,+
LCB_645,-,-,-,-,-,-,-,-,-,-,-,-,507370,510252,+
LCB_646,-,-,-,-,-,-,-,-,-,-,-,-,510451,510637,+
LCB_647,-,-,-,-,-,-,-,-,-,-,-,-,510806,515150,+
LCB_648,-,-,-,-,-,-,-,-,-,-,-,-,516065,517913,+
LCB_649,-,-,-,-,-,-,-,-,-,-,-,-,518261,518811,+
LCB_650,-,-,-,-,-,-,-,-,-,-,-,-,519130,525438,+
LCB_651,-,-,-,-,-,-,-,-,-,-,-,-,525595,531930,+
